,text,label
0,aya hezelouna boutoula zarzis na7taflo biha m3akom sfax viva cs,0
1,tosref wdjib joueret mar7ba t7ebech ib3id zboubna na7na mnaka mak nched zok omha nsa7et njib joueret jbel la7mar jloud etadhamen kabariya w7ay ezouhour gasrine nhiz roba3iya,1
2,nour nour mchala fawzi be gamra,0
3,malyoun,0
4,5omej monacht mast bhim maya3rfch ya7ki lokzaaa la3mayri raho 9alb masi7i net7adeh i9oul ilaha ela bsed9,1
5,bravo,0
6,rawa7 no93ed era wjouh lem9alba telfza a5er eni na3elbou a7zeb hmal,1
7,slm ensan en3ich dam yawladi fi9o erya7i e7eb raho youdrbo erya7i fe9o belahi seyasa et3eyich,0
8,wahdou ebdili 9ouwa yel9aha hadhra ghir ya3mel barnemej chbich y9oul tbarkalah,0
9,suis entrain regarder emision moment histoire amani franchement presentateur devenu malade dire file retourner celui qui tabase qui se permet dire sa mere drague devenu importe quoi demande diriez meme chose votre file,1
10,votinalkom kdhebtou 9oltou mafamech ta7alof nahdha mba3ed korsi doret 7yasa sale menteur hypocrite tartour enahdha ra2is ghir soulou7iyet jit mchit khabit ouejhi metouensa oualah honte tous arivistes,1
11,9a7ba chedi sormk,1
12,a3sal 3asl,0
13,aymen khamasi mehdi gaied jed aoun mohamed tares nayek aala bhema hahhahhahhahhahhahhahhahhahhahhahha,0
14,walide y5alik baredli galbi,0
15,mal9aw nwfal maset,1
16,ltawa raja3t conexion,1
17,raj3elna moudarebna sabe9 chiheb lili hadhi mtalebna,0
18,chktech biha 7abet ta5ou mnik tjbet la7kya,1
19,ma7leha ma7la dawrha wildha 3andha 7a9 ta3mil hakeka trabi toulid thamil,0
20,habtelna marsa,0
21,kalab mosa5 wmok lamsa5a,1
22,mostawayet,1
23,el7a9 ya3mel masra7itou 7abs yemchilou,1
24,fawzi fanen na9seto th9afa,1
25,da5lou ila beyt eta3a,0
26,bichfa,0
27,l3az lmra,0
28,ye9awik 3lihim yensrok,0
29,lmarzougi mazel 7ay,0
30,latif chitana,1
31,masit lasit,1
32,ta7an rajl,1
33,la3lik 3melto 3andek zay elnafti yal3ab haten karl yal3ab saif edin jaziri ya9ha elhedli chbih,0
34,aman palete mnin,0
35,seif,0
36,teheb 5ir tehb 5ir lbledna yonsrik enchala,0
37,mana3rfou tenbir tma93ir touhem bilbatel e5dem bsede9,0
38,miboun teri5 houwe amin gara ta3 zebi nejmouch cheb bechir mawthou3 yweli dini 9leb mawthou3 barnemj hathake 97ab kizebi cheb bechir taya7 9imtou 9bel da3wet miboun tfihhh 3le 3os omhom 9a7be,1
39,fin yakhrawlik el3arfawi ihib sandwich ji3an mnayik,1
40,bayram makarouch aaml hak,0
41,mamstou sa5ta,1
42,a7la momathel komidi touns bravo,0
43,tahiya lsamira,0
44,wka arbi lzni thaaan fblna byh wled huma wrjel tl3 thaaan flus t3ml aka tb3 mnykin mla arby yzbi,1
